Starting up http-server, serving out/

http-server version: 14.1.0

http-server settings: 
CORS: disabled
Cache: 3600 seconds
Connection Timeout: 120 seconds
Directory Listings: visible
AutoIndex: visible
Serve GZIP Files: false
Serve Brotli Files: false
Default File Extension: none

Available on:
  http://127.0.0.1:8080
  http://199.94.68.150:8080
Hit CTRL-C to stop the server

[2022-04-20T20:48:51.617Z]  "GET /" "pa11y/6.1.1"
(node:54515) [DEP0066] DeprecationWarning: OutgoingMessage.prototype._headers is deprecated
(Use `node --trace-deprecation ...` to show where the warning was created)
[2022-04-20T20:48:56.102Z]  "GET /_next/static/1MVTFwGhKHOyrI1GnC9ez/_ssgManifest.js" "pa11y/6.1.1"
[2022-04-20T20:48:56.102Z]  "GET /_next/static/1MVTFwGhKHOyrI1GnC9ez/_middlewareManifest.js" "pa11y/6.1.1"
[2022-04-20T20:48:56.369Z]  "GET /_next/data/1MVTFwGhKHOyrI1GnC9ez/index.json" "pa11y/6.1.1"
[2022-04-20T20:48:56.374Z]  "GET /_next/static/chunks/415-d168ad94c0d22a7b.js" "pa11y/6.1.1"
[2022-04-20T20:48:56.376Z]  "GET /_next/data/1MVTFwGhKHOyrI1GnC9ez/about/big-picture.json" "pa11y/6.1.1"
[2022-04-20T20:48:56.378Z]  "GET /_next/static/chunks/pages/index-1d6983fd189185c1.js" "pa11y/6.1.1"
[2022-04-20T20:48:56.378Z]  "GET /_next/static/chunks/675-f37663bd6d50cd28.js" "pa11y/6.1.1"
[2022-04-20T20:48:56.378Z]  "GET /_next/static/chunks/pages/about/big-picture-2aa54c749b18bd16.js" "pa11y/6.1.1"
[2022-04-20T20:48:56.379Z]  "GET /_next/data/1MVTFwGhKHOyrI1GnC9ez/about/initiative.json" "pa11y/6.1.1"
[2022-04-20T20:48:56.380Z]  "GET /_next/data/1MVTFwGhKHOyrI1GnC9ez/about/community.json" "pa11y/6.1.1"
